decoder_type,gamma,balanced,seed,iou_fundo,iou_interior,iou_fronteira,mAP,counting_error
skip,0.0,False,42,0.9590483894988672,0.6487449211860771,0.45687966782655287,0.38209328952492544,15.604477611940299
skip,0.0,False,123,0.9502783088541743,0.5499941061681776,0.3936420945978876,0.3485715914900287,13.037313432835822
skip,0.0,True,42,0.9065047538102563,0.6643434914190378,0.384338103568376,0.19634330073890977,12.552238805970148
skip,0.0,True,123,0.937897473128874,0.6568680805946464,0.4719615783264388,0.29864591302325844,12.529850746268657
skip,1.0,False,42,0.9630541970480734,0.6513923175299345,0.4658112806170734,0.4147130402876909,14.305970149253731
skip,1.0,False,123,0.9459918150261267,0.5335753560066223,0.36260142077260943,0.30784203382998176,13.41044776119403
skip,1.0,True,42,0.9388219127014502,0.6811274530282662,0.4650435154117755,0.29197499723381365,13.171641791044776
skip,1.0,True,123,0.930493775588363,0.6692991132166848,0.4658930039227898,0.2676133500923545,12.0
skip,2.0,False,42,0.9633119248632175,0.6375371119869289,0.43022982086708295,0.410433016433194,14.708955223880597
skip,2.0,False,123,0.9519288077283261,0.559456608188686,0.4187143925410598,0.3791642795410935,16.78358208955224
skip,2.0,True,42,0.9222417785160577,0.6519667088095822,0.39479720103206917,0.21752686838863824,14.5
skip,2.0,True,123,0.9415190433388325,0.6452654724690452,0.4893504398972241,0.3329690678418273,11.626865671641792
skip,5.0,False,42,0.944192913041186,0.5876164912287869,0.34929597800347345,0.2683762302484651,18.753731343283583
skip,5.0,False,123,0.9439625704466407,0.46151330666755563,0.33491173875865654,0.2894685396795503,17.98507462686567
skip,5.0,True,42,0.9525712194727428,0.6582794847773082,0.4716501289339208,0.3376100724356918,12.402985074626866
skip,5.0,True,123,0.9573962866370358,0.6026197031362733,0.5128657719982204,0.37563471889059497,11.477611940298507
atrous_aspp,0.0,True,42,0.8256004906412381,0.3724296813580527,0.26387649863513546,0.0716692027453826,36.58955223880597
atrous_aspp,0.0,True,123,0.8137267774610377,0.4012909166848482,0.22943165342309582,0.06419621384657992,36.798507462686565
